
INFO Tue Jun 27 08:31:09 CEST 2023 JVM version: 1.8.0_121 Heap size: total: 573046784B, max: 1398276096B, free: 371374288B, nr cores: 4, using: 1
INFO: doing warm-up run...
...warm-up done!
CONFIGS baseline	lazy	nuxmv
CONFIG nuxmv IS SolveSatisfy --timeout 30000 --backend nuxmv --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
CONFIG baseline IS SolveSatisfy --timeout 30000 --backend baseline --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
CONFIG lazy IS SolveSatisfy --timeout 30000 --backend lazy --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
TIMEOUT 30000
HARD TIMEOUT 18600000 milliseconds FOR ALL
RESULT ../../../anonymous/deduped-benchmarks/27667.par	u4.93329238	u0.778279354	t30.033430633
RESULT ../../../anonymous/deduped-benchmarks/28082.par	t30.010266008	u1.543507928	t30.058663911
RESULT ../../../anonymous/deduped-benchmarks/27779.par	u3.591660131	u0.759428242	t30.047573203
RESULT ../../../anonymous/deduped-benchmarks/27642.par	u3.802774014	u0.747035855	t30.033400173
RESULT ../../../anonymous/deduped-benchmarks/27722.par	u4.748765296	u0.753695444	t30.031267289
RESULT ../../../anonymous/deduped-benchmarks/27859.par	u6.4111027	u0.54372342	u13.245913241
RESULT ../../../anonymous/deduped-benchmarks/27751.par	u4.328201488	u0.7610923	u23.966330406
RESULT ../../../anonymous/deduped-benchmarks/27934.par	t30.001473162	u1.650022072	t30.04888446
RESULT ../../../anonymous/deduped-benchmarks/27917.par	t30.009825749	u1.592821205	t30.045019592
RESULT ../../../anonymous/deduped-benchmarks/27858.par	u4.478733008	u0.595031739	t30.036805862
RESULT ../../../anonymous/deduped-benchmarks/27649.par	u3.775303701	u0.724743895	u25.363767404
RESULT ../../../anonymous/deduped-benchmarks/27949.par	t30.001340699	u1.59796276	t30.054682327
RESULT ../../../anonymous/deduped-benchmarks/28060.par	u23.768639756	u1.600080863	t30.050161498
RESULT ../../../anonymous/deduped-benchmarks/27988.par	t30.011798956	t32.758798382	t30.029953921
RESULT ../../../anonymous/deduped-benchmarks/27962.par	t30.001349001	u1.594100149	t30.062134977
RESULT ../../../anonymous/deduped-benchmarks/27851.par	u4.94168181	u0.622589526	t30.032654728
RESULT ../../../anonymous/deduped-benchmarks/27718.par	u3.127857846	u0.868445176	u28.061609386
RESULT ../../../anonymous/deduped-benchmarks/28028.par	t30.007816504	u0.715181041	u12.780243746
RESULT ../../../anonymous/deduped-benchmarks/27764.par	u7.045180243	u0.714744784	t30.032906224
RESULT ../../../anonymous/deduped-benchmarks/27920.par	u25.51965178	u1.627805597	t30.052210387
RESULT ../../../anonymous/deduped-benchmarks/27792.par	t30.001333005	u0.715535971	u11.577899678
RESULT ../../../anonymous/deduped-benchmarks/27687.par	u3.890538659	u0.790920581	t30.031696452
RESULT ../../../anonymous/deduped-benchmarks/27685.par	u6.730892956	u0.775404712	t30.035628722
RESULT ../../../anonymous/deduped-benchmarks/27832.par	t30.002409893	t32.443424661	t30.021621061
RESULT ../../../anonymous/deduped-benchmarks/27877.par	t30.041681852	t32.97811275	t30.027744647
RESULT ../../../anonymous/deduped-benchmarks/27978.par	t30.01549044	t32.744160352	t30.028904502
RESULT ../../../anonymous/deduped-benchmarks/28025.par	t30.000945127	t32.728898282	t30.020939785
RESULT ../../../anonymous/deduped-benchmarks/27842.par	t30.021517693	s13.759167283	t30.02367438
